P,PET,Qobs,Qsim
11.9000,1.8100,1.4260,0.695
0.9000,1.7800,1.2990,0.764
9.7000,1.7400,0.7410,0.714
0.1000,1.7100,1.4320,0.800
1.4000,1.6700,0.9540,0.726
0.0000,1.6300,0.6810,0.677
3.8000,1.5800,0.5580,0.674
0.9000,1.5500,0.5080,0.693
11.0000,1.5100,0.5550,0.737
0.0000,1.4800,0.9640,0.890
0.5000,1.4500,0.6780,0.798
0.9000,1.4200,0.5450,0.737
0.6000,1.3900,0.5250,0.714
0.3000,1.3600,0.5150,0.692
1.8000,1.3400,0.5320,0.675
1.5000,1.3100,0.5080,0.666
3.1000,1.3200,0.5050,0.662
0.6000,1.2900,0.4880,0.675
0.0000,1.2600,0.4720,0.644
2.6000,1.2400,0.4550,0.631
1.9000,1.2100,0.4690,0.645
1.5000,1.1800,0.5080,0.635
1.0000,1.1500,0.4690,0.615
3.4000,1.1200,0.4390,0.614
7.2000,1.0900,0.4880,0.693
9.2000,1.0500,0.6650,0.863
7.8000,0.9700,1.1030,1.053
4.7000,0.9300,1.1800,1.162
9.8000,0.9000,1.1030,1.266
3.6000,0.8700,1.0170,1.484
4.2000,0.8500,1.0970,1.471
1.2000,0.8200,1.0530,1.453
8.2000,0.8000,0.9600,1.476
2.1000,0.7800,1.3620,1.693
0.0000,0.7600,1.1530,1.576
0.0000,0.7400,0.8970,1.425
0.0000,0.7300,0.8080,1.334
0.2000,0.7400,0.7310,1.261
3.9000,0.7300,0.9110,1.252
10.1000,0.7100,1.5450,1.489
0.0000,0.7000,1.8940,1.782
0.0000,0.6900,1.2360,1.569
0.0000,0.6800,1.0040,1.419
0.0000,0.6700,0.9240,1.338
0.0000,0.6700,0.8840,1.268
4.1000,0.6600,0.8710,1.268
11.6000,0.6500,1.2030,1.569
7.9000,0.6600,2.7910,2.145
7.0000,0.6500,2.1100,2.451
0.6000,0.6400,2.3930,2.495
4.5000,0.6400,1.9940,2.277
0.7000,0.6300,2.2600,2.273
15.9000,0.6300,1.9770,2.532
0.3000,0.6200,3.1900,3.373
12.9000,0.6200,2.6750,3.334
0.0000,0.6100,3.5560,3.871
29.6000,0.6000,2.6420,4.714
1.3000,0.5900,6.3470,7.401
0.0000,0.5900,5.6490,5.534
1.5000,0.5800,4.0540,4.267
9.9000,0.5800,3.8880,4.183
18.6000,0.5700,6.5460,5.798
0.1000,0.5700,8.9060,7.123
6.8000,0.5700,4.8850,5.737
2.9000,0.5700,4.4200,5.456
0.3000,0.5700,4.2200,4.684
